               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  15,            0.085865,            0.045157,            0.013476,                   0,                   0,                   0,                   0,                   0,            0.010845,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.085915,            0.041243,            0.013543,                   0,                   0,                   0,                   0,                   0,           0.0091925,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.083424,            0.043786,            0.013937,                   0,                   0,                   0,                   0,                   0,            0.008337,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.081202,            0.043382,            0.012584,                   0,                   0,                   0,                   0,                   0,           0.0084591,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.079934,            0.047114,            0.012969,                   0,                   0,                   0,                   0,                   0,            0.012525,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.080471,            0.045197,            0.011353,                   0,                   0,                   0,                   0,                   0,            0.015281,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.077574,            0.041035,            0.010729,                   0,                   0,                   0,                   0,                   0,            0.013063,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.074855,            0.043583,            0.010587,                   0,                   0,                   0,                   0,                   0,            0.010051,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.073414,            0.045782,            0.012503,                   0,                   0,                   0,                   0,                   0,             0.01733,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.073703,            0.040957,            0.012149,                   0,                   0,                   0,                   0,                   0,            0.010777,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.073061,            0.039216,           0.0099325,                   0,                   0,                   0,                   0,                   0,            0.017238,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.072938,            0.040334,            0.010871,                   0,                   0,                   0,                   0,                   0,            0.011632,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.073481,            0.044639,            0.010281,                   0,                   0,                   0,                   0,                   0,            0.012427,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.074274,            0.041109,           0.0082782,                   0,                   0,                   0,                   0,                   0,            0.010718,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.073097,            0.045085,           0.0092523,                   0,                   0,                   0,                   0,                   0,           0.0091729,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.069106,            0.041177,           0.0093459,                   0,                   0,                   0,                   0,                   0,            0.010882,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.069441,            0.041855,           0.0099274,                   0,                   0,                   0,                   0,                   0,            0.013884,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.069774,            0.040657,           0.0083216,                   0,                   0,                   0,                   0,                   0,            0.011084,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.069955,            0.044622,           0.0079396,                   0,                   0,                   0,                   0,                   0,           0.0096273,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.069408,             0.04022,           0.0086725,                   0,                   0,                   0,                   0,                   0,            0.010875,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.067019,            0.040844,           0.0088198,                   0,                   0,                   0,                   0,                   0,            0.012098,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.068353,            0.043434,           0.0084355,                   0,                   0,                   0,                   0,                   0,            0.011983,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.068926,            0.042111,           0.0093518,                   0,                   0,                   0,                   0,                   0,             0.01131,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.067249,            0.040192,           0.0074435,                   0,                   0,                   0,                   0,                   0,            0.010884,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.06785,            0.042204,           0.0073932,                   0,                   0,                   0,                   0,                   0,            0.010915,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.068138,            0.038218,           0.0075446,                   0,                   0,                   0,                   0,                   0,             0.01147,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.065106,            0.038358,           0.0070662,                   0,                   0,                   0,                   0,                   0,              0.0115,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.068612,            0.040691,            0.006383,                   0,                   0,                   0,                   0,                   0,            0.011451,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.065904,            0.043903,           0.0070713,                   0,                   0,                   0,                   0,                   0,            0.011928,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.064243,            0.042081,           0.0071681,                   0,                   0,                   0,                   0,                   0,            0.011384,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.064552,            0.045069,            0.006123,                   0,                   0,                   0,                   0,                   0,            0.012122,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.064411,            0.040033,           0.0065198,                   0,                   0,                   0,                   0,                   0,            0.013546,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.063654,            0.040338,           0.0068591,                   0,                   0,                   0,                   0,                   0,            0.012525,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.064603,            0.043047,            0.006997,                   0,                   0,                   0,                   0,                   0,            0.013869,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.063036,            0.038911,           0.0061362,                   0,                   0,                   0,                   0,                   0,            0.009984,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.062476,             0.04171,           0.0047752,                   0,                   0,                   0,                   0,                   0,            0.009964,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.064102,            0.042572,           0.0078867,                   0,                   0,                   0,                   0,                   0,            0.012666,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.062847,            0.036889,           0.0066516,                   0,                   0,                   0,                   0,                   0,            0.012038,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.060125,            0.037932,           0.0066099,                   0,                   0,                   0,                   0,                   0,            0.011487,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.060907,            0.039719,           0.0056315,                   0,                   0,                   0,                   0,                   0,            0.011411,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.062899,            0.039055,           0.0062048,                   0,                   0,                   0,                   0,                   0,            0.012695,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.062489,            0.040647,           0.0045258,                   0,                   0,                   0,                   0,                   0,            0.013424,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.058101,            0.035824,           0.0052566,                   0,                   0,                   0,                   0,                   0,            0.012848,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.058699,            0.038913,           0.0047917,                   0,                   0,                   0,                   0,                   0,            0.013968,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.060535,            0.043529,           0.0046151,                   0,                   0,                   0,                   0,                   0,            0.013664,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.059562,            0.039639,           0.0043593,                   0,                   0,                   0,                   0,                   0,            0.012362,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.061496,            0.038651,           0.0051432,                   0,                   0,                   0,                   0,                   0,            0.012073,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.062364,            0.042592,           0.0045811,                   0,                   0,                   0,                   0,                   0,             0.01564,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.060468,            0.038575,           0.0048081,                   0,                   0,                   0,                   0,                   0,            0.011676,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.058286,            0.039869,           0.0054648,                   0,                   0,                   0,                   0,                   0,            0.012914,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.057504,             0.04214,           0.0041327,                   0,                   0,                   0,                   0,                   0,            0.013379,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.056945,            0.041237,           0.0036697,                   0,                   0,                   0,                   0,                   0,            0.012765,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.059217,            0.040223,           0.0050588,                   0,                   0,                   0,                   0,                   0,            0.013037,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.056828,            0.038011,           0.0035215,                   0,                   0,                   0,                   0,                   0,            0.013038,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.056833,            0.037437,           0.0038216,                   0,                   0,                   0,                   0,                   0,            0.012761,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.060487,            0.040402,           0.0047766,                   0,                   0,                   0,                   0,                   0,            0.014375,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.058644,            0.042052,           0.0044958,                   0,                   0,                   0,                   0,                   0,            0.012324,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.055414,            0.037903,           0.0042966,                   0,                   0,                   0,                   0,                   0,            0.012202,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.053777,             0.03717,           0.0039509,                   0,                   0,                   0,                   0,                   0,            0.010439,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.05594,            0.037013,           0.0042367,                   0,                   0,                   0,                   0,                   0,             0.01393,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.058399,            0.041175,           0.0053661,                   0,                   0,                   0,                   0,                   0,            0.013327,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.055761,            0.036091,           0.0037851,                   0,                   0,                   0,                   0,                   0,            0.012583,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.056397,            0.037109,           0.0045917,                   0,                   0,                   0,                   0,                   0,            0.011899,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.055372,            0.041328,           0.0039494,                   0,                   0,                   0,                   0,                   0,            0.012596,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.055982,             0.03911,           0.0054491,                   0,                   0,                   0,                   0,                   0,             0.01316,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.054858,            0.038782,           0.0035044,                   0,                   0,                   0,                   0,                   0,            0.012951,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.055822,            0.038348,           0.0041746,                   0,                   0,                   0,                   0,                   0,            0.012628,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.055524,            0.043831,           0.0031194,                   0,                   0,                   0,                   0,                   0,            0.013113,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.055724,            0.040273,           0.0039238,                   0,                   0,                   0,                   0,                   0,            0.012504,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.055973,            0.038878,            0.003802,                   0,                   0,                   0,                   0,                   0,            0.012484,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.054398,            0.034248,            0.003667,                   0,                   0,                   0,                   0,                   0,            0.013045,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.054539,            0.037135,            0.003337,                   0,                   0,                   0,                   0,                   0,            0.014903,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.053958,            0.037453,           0.0038723,                   0,                   0,                   0,                   0,                   0,            0.015748,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.052914,            0.036884,           0.0033329,                   0,                   0,                   0,                   0,                   0,            0.016176,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.054203,            0.039254,           0.0039653,                   0,                   0,                   0,                   0,                   0,            0.016387,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.052852,            0.035996,           0.0039499,                   0,                   0,                   0,                   0,                   0,            0.016492,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.053861,                0.04,           0.0031919,                   0,                   0,                   0,                   0,                   0,            0.016449,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.054275,            0.034958,            0.003543,                   0,                   0,                   0,                   0,                   0,            0.015728,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.05422,            0.036607,           0.0031774,                   0,                   0,                   0,                   0,                   0,            0.015638,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.053544,            0.039582,           0.0028449,                   0,                   0,                   0,                   0,                   0,            0.016931,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.053378,            0.039442,           0.0038005,                   0,                   0,                   0,                   0,                   0,            0.017037,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.05284,            0.036247,           0.0027982,                   0,                   0,                   0,                   0,                   0,            0.016572,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.055227,            0.040922,           0.0033002,                   0,                   0,                   0,                   0,                   0,            0.016092,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.052073,            0.036174,           0.0026923,                   0,                   0,                   0,                   0,                   0,            0.015749,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.052589,            0.039278,            0.003049,                   0,                   0,                   0,                   0,                   0,             0.01573,                   0,            0.000298,            0.000298,            0.000298
